id,name,size,files,specs,agents,reasoning,connections,domain,matched_dimensoes,top_classes,top_funcs
C10,Optimal Question Scanner: UncertaintyScanner,59,"test_oqs.py, oqs_scanner.py, test_optimal_question_scanner.py",-,-,"R10, R2, R3","C3, C143",Optimal Question Scanner,"Metodologia Específica (keyword_map compatibility), Raciocínio Formal (keyword_map compatibility), Temporalidade Específica","UncertaintyScanner, QuestionVectorizer, ConvergenceScore",".__init__(), .scan(), .vectorize()"
C11,Economia de Tokens: InsufficientBalanceError,59,test_spec024_audit_integration.py,-,-,"R48, R49, R50, R51","C15, C47",Economia de Tokens,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, Preenchimento de Ausências (R37) — Complemento para 80%+","InsufficientBalanceError, UnauthorizedMintError, TokenTransaction",".__init__(), ._next_tx_id(), ._init_wallet()"
C12,MCP e Adaptadores: MCPRequest,58,mcp_real_adapters.py,-,-,"R54, R55","C108, C123",MCP e Adaptadores,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","MCPRequest, MCPResponse, MCPAdapter",".__init__(), .execute(), .get_health()"
C13,Estatística e Métricas: D3 Estatistica,58,"test_d3_estatistica.py, test_d7_codigo.py",-,-,"R12, R13, R37",-,Estatística e Métricas,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)",-,-
C14,ASDE — Descoberta Científica: ResearchIdea,55,"test_asde.py, asde_engine.py",-,-,"R35, R36, R37, R38, R39","C3, C9, C28, C54, C143",ASDE — Descoberta Científica,"Alto Dados (Expansão de Cobertura), Metodologia Específica (keyword_map compatibility), Métodos de Investigação","ResearchIdea, ASDEEngine, Ideia de pesquisa com full traceability dos modulos R27/R28",".to_dict(), .innovation_score(), .apply_arche_rlt()"
C15,Testes e Validação: APIService,55,"test_spec019_api_governance.py, conftest.py",-,-,-,"C0, C6, C11, C16, C47",Testes e Validação,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Níveis Análise Específicos","APIService, AuditEntry, CircuitState",".__init__(), .allow(), .register()"
C16,Testes e Validação: RateLimitExceeded,55,test_spec023_agent_economics.py,-,-,-,"C15, C47, C299",Testes e Validação,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Métodos de Investigação","RateLimitExceeded, OperationCost, AgentAllowance",".balance(), .__init__(), .pricing()"
C17,Testes e Validação: HealthSnapshot,53,test_r41_health_background.py,-,-,R41,C123,Testes e Validação,"Níveis Análise Específicos, Perspectiva Temporal","HealthSnapshot, Path",-
C18,Testes e Validação: CognitivePrior,52,"test_active_inference.py, active_inference_controller.py, ecosystem_capabilities_server.py",-,-,-,"C3, C4, C123, C193, C194",Testes e Validação,"Alto Raciocínio (Especificidades), Domínios de Conhecimento Cruzados, Metodologia Específica (keyword_map compatibility)","CognitivePrior, PolicyProposal, ActiveInferenceController",".__init__(), ._init_default_priors(), .load_state()"
C19,Integração Nexus: MCPCapability,52,"test_ecosystem_full.py, mcp_router.py, nexus_integration_full.py",-,-,-,"C0, C2, C4, C5, C8",Integração Nexus,Temporalidade Específica,"MCPCapability, AgentSpecialization, MCPServer",".__init__(), .__post_init__(), .is_available()"
C20,Ecossistema e Scanners: MockParagraph,50,test_noological_scanner.py,-,-,"R60, R61, R62",-,Ecossistema e Scanners,"Domínios de Conhecimento Cruzados, Metodologia Específica (keyword_map compatibility), Métodos de Investigação","MockParagraph, MockAuditTrail, MockTextAnalyzer",.__init__()
C21,Ecossistema e Scanners: TestPotentialityEstimatorV2,49,test_potentiality_estimator_v2.py,-,-,"R60, R61, R62",-,Ecossistema e Scanners,"Dados Específicos, Metodologia Específica (keyword_map compatibility), População e Contexto",TestPotentialityEstimatorV2,".test_ct045001_consolidation_of_absences(), .test_ct045002_eps_v2_range(), .test_ct045003_teleological_alignment()"
C22,MCP e Adaptadores: AntigravityMCPServer,47,antigravity_mcp_server.py,-,-,"R54, R55",C123,MCP e Adaptadores,"Metodologia Específica (keyword_map compatibility), Níveis Análise Específicos, Perspectiva Temporal","AntigravityMCPServer, Any",".__init__(), .get_tools(), .handle_delegate_task()"
C23,Testes e Validação: TestBasicCRUD,47,test_state_manager.py,-,-,-,-,Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","TestBasicCRUD, TestDataTypes, TestTransaction",".test_set_and_get(), .test_get_nonexistent_returns_default(), .test_get_nonexistent_no_default()"
C24,Sincronização e Orquestração: OperationCheckpoint,46,"granular_sync.py, test_module_coverage.py",-,-,"R54, R56",C72,Sincronização e Orquestração,Temporalidade Específica,"OperationCheckpoint, GranularOperation, Any",".__post_init__(), .get_latest_checkpoint(), .can_proceed()"
C25,Sincronização e Orquestração: SyncComponent,45,"nexus_sync_orchestrator.py, test_sync_orchestrator_di.py",-,-,"R54, R56","C46, C68, C69, C131",Sincronização e Orquestração,"Métodos de Investigação, Perspectiva Temporal, Temporalidade Específica","SyncComponent, ComponentDiscovery, AutoHealingEngine",".__init__(), .test_init_with_mock(), .discover_agents()"
C26,Integração Nexus: R38 Cross Paradigm,45,test_r38_cross_paradigm.py,-,-,R38,-,Integração Nexus,"Alto Dados (Expansão de Cobertura), Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility)",-,-
C27,Integração Nexus: DynamicScore,44,"test_nexus_di.py, sync_orchestrator.py, config.py",-,-,-,"C4, C5, C8, C19, C42",Integração Nexus,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, Temporalidade Específica","DynamicScore, HealthEngine, TestNexusContextOffloadDI",".compute(), .__init__(), .test_mcp_router_accepts_container()"
C28,Sincronização e Orquestração: Phase,44,"opus_orchestration.py, ecosystem_capabilities_server.py, test_opus.py",-,-,"R54, R56","C0, C3, C9, C14, C54",Sincronização e Orquestração,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","Phase, ActionCategory, AuthorizationLevel",".is_authorized(), .authorize(), .record_decision()"
C29,MCP e Adaptadores: MCPType,44,mcp_self_organization.py,-,-,"R54, R55","C0, C123",MCP e Adaptadores,"Metodologia Específica (keyword_map compatibility), Níveis Análise Específicos, População Específica","MCPType, HealthStatus, Capability",".to_dict(), .status(), .availability()"
C30,Testes e Validação: D6-N1-01: Granito = ígnea intrusiva,44,test_d6_geociencias.py,-,-,-,-,Testes e Validação,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação","D6-N1-01: Granito = ígnea intrusiva, D6-N1-01: Basalto = ígnea extrusiva, D6-N1-01: Calcário = sedimentar química",-
C31,Testes e Validação: TestTrack1Injection,44,test_r44_ecosystem_expansion.py,-,-,R44,C123,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, População e Contexto","TestTrack1Injection, TestTrack2Topology, TestIntegration",".test_ct01_injector_imports(), .test_ct02_artifact_dataclass(), .test_ct03_inject_single_artifact()"
C32,Sincronização e Orquestração: BarrierMetrics,43,micro_sync_barriers.py,-,-,"R54, R56","C0, C19",Sincronização e Orquestração,"Metodologia Específica (keyword_map compatibility), População e Contexto, Preenchimento de Ausências (R37) — Complemento para 80%+","BarrierMetrics, SyncBarrierOutput, MicroSyncBarrier",".calculate_latency(), .to_dict(), .serialize()"
C33,Raciocínio e Lógica: ReasoningCategory,42,"micro_reasoning_types.py, nexus_integration_full.py",-,-,"R1, R2, R3, R4, R5",C0,Raciocínio e Lógica,"Alto Dados (Expansão de Cobertura), Alto Raciocínio (Especificidades), Paradigmas Epistemológicos","ReasoningCategory, ReasoningType, MicroReasoningEngine",".__init__(), .to_dict(), ._init_all_reasoning_types()"
C34,Testes e Validação: TestServiceRegistry,42,test_services.py,-,-,-,C110,Testes e Validação,-,"TestServiceRegistry, TestEvolutionService, TestHealthService",".test_repr(), .test_average_score(), .reset()"
C35,Testes e Validação: TestSkillManagerDiscovery,42,test_skill_manager.py,-,-,-,-,Testes e Validação,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação","TestSkillManagerDiscovery, TestSkillManagerLoading, TestSkillManagerMatching",".test_discover_finds_skills(), .test_discover_ignores_dirs_without_skill_md(), .test_discover_empty_dir()"
C36,Testes e Validação: Derivada forward D: Dx_t = lim_{h->0+} E((x_{t+h}-x_t)/h - P_t)     Para process,42,test_d10_gat.py,-,-,-,-,Testes e Validação,"Alto Raciocínio (Especificidades), Métodos de Investigação, Perspectiva Temporal","Derivada forward D: Dx_t = lim_{h->0+} E[(x_{t+h}-x_t)/h | P_t]     Para process, Derivada backward D*: D*x_t = lim_{h->0+} E[(x_t-x_{t-h})/h | F_t], Conexao χ(x,t,g)(δx,δt) = (D^{δx}_t/D^x_t - r^x_t δt) g     Simplificado: 1-form",-
C37,Testes e Validação: TestTTLCacheBasic,41,test_cache.py,-,-,-,-,Testes e Validação,Metodologia Específica (keyword_map compatibility),"TestTTLCacheBasic, TestTTLCacheTTL, TestTTLCacheLRU",".test_set_and_get(), .test_get_default(), .test_set_overwrite()"
C38,Testes e Validação: TestFileStateManagerBasic,41,test_state_file.py,-,-,-,-,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Níveis Análise Específicos","TestFileStateManagerBasic, TestFileStateManagerDataTypes, TestFileStateManagerAtomicWrites",".test_set_and_get(), .test_get_default(), .test_set_overwrite()"
C39,Testes e Validação: Exaustivo Final,41,test_exaustivo_final.py,-,-,-,-,Testes e Validação,"Perspectiva Temporal, Temporalidade Específica",-,-
C40,Testes e Validação: TestMenuNode,41,test_menu.py,-,-,-,-,Testes e Validação,Metodologia Específica (keyword_map compatibility),"TestMenuNode, TestMenuEngine, TestMenuRenderer",".setup_method(), .test_create_node(), .test_add_item()"
C41,ASDE — Descoberta Científica: IdeaGenerator,40,asde_pipeline.py,-,-,"R35, R36, R37, R38, R39",C0,ASDE — Descoberta Científica,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, Preenchimento de Ausências (R37) — Complemento para 80%+","IdeaGenerator, OntologyGraph, MultiAgentCritic",".__init__(), .generate(), .add_node()"
C42,Integração Nexus: SelfHealer,40,"nexus_self_healer.py, test_self_healer_di.py",-,-,-,"C27, C68, C69, C123",Integração Nexus,-,"SelfHealer, IStateManager, IEventBus",".__init__(), .check_cjk_leaks(), .fix_cjk_leaks()"
C43,Ecossistema e Scanners: MockNoologicalResult,40,test_cognitive_diversity_scanner.py,-,-,"R60, R61, R62",C3,Ecossistema e Scanners,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação","MockNoologicalResult, Any, CTResult",.__init__()
C44,Testes e Validação: SchemaValidationError,40,test_spec021_low_code_platform.py,-,-,-,C47,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+","SchemaValidationError, DeployError, AgentNode",".validate(), .__init__(), .load_schema()"
C45,Testes e Validação: State1Q,39,test_d26_quantica.py,-,-,-,-,Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","State1Q, State2Q, Aplica a porta CNOT (Controlado-NOT) com Qubit 0 como controle e Qubit 1 como al",-
C46,Sincronização e Orquestração: SyncState,39,"zrm_consciousness.py, sync_orchestrator.py",-,-,"R54, R56","C0, C5, C25, C27, C47",Sincronização e Orquestração,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Níveis Análise Específicos","SyncState, ZViolationError, Severity",".is_fatal(), .register_schema(), .check_precondition()"
C47,Economia de Tokens: Exception,38,test_spec023_agent_economics.py,-,-,"R48, R49, R50, R51","C6, C11, C15, C16, C44",Economia de Tokens,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+","Exception, InsufficientBalanceError, UnauthorizedMintError","._next_tx_id(), ._init_wallet(), ._next_nonce()"
C48,Pipeline Acadêmico: SeekerSimulator,38,academic_pipeline.py,-,-,"R35, R37, R39, R60",-,Pipeline Acadêmico,"Metodologia Específica (keyword_map compatibility), Métodos de Investigação, População e Contexto","SeekerSimulator, PeerReviewSimulator, TSACCorrector",".__init__(), .search(), .evaluate()"
C49,Testes e Validação: TestSubscribePublish,38,test_event_bus.py,-,-,-,-,Testes e Validação,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação","TestSubscribePublish, TestUnsubscribe, TestWildcardTopics",".test_basic_publish(), .test_publish_with_data(), .test_publish_with_source()"
C50,Testes e Validação: TestPythagoras,38,test_d1_matematica.py,-,-,-,-,Testes e Validação,"Alto Raciocínio (Especificidades), População e Contexto, Raciocínio Formal (keyword_map compatibility)","TestPythagoras, TestGaussSum, TestFactorial",".test_triplas_pitagoricas(), .test_tripla_aleatoria(), .test_gauss_formula()"
C51,Evolução e Feedback: Ecosystem Scanner,37,"ecosystem_scanner.py, evolution_engine.py",-,-,"R4, R5",C123,Evolução e Feedback,"Níveis Análise Específicos, Perspectiva Temporal, Raciocínio Formal (keyword_map compatibility)",-,-
C52,Testes e Validação: TestRestClientHttpMethods,37,test_rest_client.py,-,-,-,-,Testes e Validação,Temporalidade Específica,"TestRestClientHttpMethods, TestRestClientRetry, TestRestClientErrors",".test_get_json(), .test_get_text(), .test_post_json()"
C53,Testes e Validação: TestPragmatistaSPEC,37,test_rota_a_pragmatista.py,-,-,-,-,Testes e Validação,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação","TestPragmatistaSPEC, TestRevisaoSistematica, TestMetodosMistos",".test_ct01_spec_exists(), .test_ct02_skill_exists(), .test_ct02_keywords_present()"
C54,ASDE — Descoberta Científica: IdeaStatus,36,"test_opus.py, asde_engine.py, opus_orchestration.py",-,-,"R35, R36, R37, R38, R39","C0, C3, C9, C14, C28",ASDE — Descoberta Científica,"Alto Dados (Expansão de Cobertura), Metodologia Específica (keyword_map compatibility), Métodos de Investigação","IdeaStatus, MultiAgentCritic, ExperimentPlanner",.__init__()
C55,Testes e Validação: TestPluginManagerDiscovery,36,test_plugin_manager.py,-,-,-,-,Testes e Validação,-,"TestPluginManagerDiscovery, TestPluginManagerLoading, TestPluginManagerQueries",".test_discover_adds_search_dir(), .test_discover_finds_plugins(), .test_discover_ignores_private()"
C56,Testes e Validação: Validacao Final,36,test_validacao_final.py,-,-,-,-,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, Temporalidade Específica",-,-
C57,Raciocínio e Lógica: ReasoningType,35,autonomous_reasoning_framework.py,-,-,"R1, R2, R3, R4, R5","C0, C123",Raciocínio e Lógica,"Alto Dados (Expansão de Cobertura), Alto Raciocínio (Especificidades), Dados Específicos","ReasoningType, ConfidenceLevel, Premise",".to_dict(), .__init__(), .select_reasoning_type()"
C58,Sincronização e Orquestração: CommitRecord,35,git_sync_barrier.py,-,-,"R54, R56",C123,Sincronização e Orquestração,-,"CommitRecord, GitSyncBarrier, Any",".__init__(), ._run_git_command(), ._load_audit_log()"
C59,Raciocínio e Lógica: AletheiaProof,35,test_aletheia_integration.py,-,-,"R1, R2, R3, R4, R5",-,Raciocínio e Lógica,"Perspectiva Temporal, Temporalidade Específica","AletheiaProof, ProblemEvaluator, ProofGenerator",".evaluate(), .__post_init__(), .generate()"
C60,Testes e Validação: CTResult,35,test_epistemic_topology_mapper.py,-,-,-,C3,Testes e Validação,"Metodologia Específica (keyword_map compatibility), População e Contexto, Teorias Específicas (keyword_map compatibility)","CTResult, Any",.__init__()
C61,Testes e Validação: CTResult,35,test_rupture_potential_index.py,-,-,-,C3,Testes e Validação,"Metodologia Específica (keyword_map compatibility), População e Contexto, Preenchimento de Ausências (R37) — Complemento para 80%+","CTResult, Any",.__init__()
C62,Testes e Validação: Função de ativação sigmoid: σ(x) = 1 / (1 + e^(-x)),35,test_d14_data_science.py,-,-,-,-,Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","Função de ativação sigmoid: σ(x) = 1 / (1 + e^(-x)), Derivada da sigmoid: σ'(x) = σ(x)(1 - σ(x)), Binary cross-entropy loss: L = -mean(y*log(p) + (1-y)*log(1-p))",-
C63,Testes e Validação: D23 Inferencia Ativa,35,test_d23_inferencia_ativa.py,-,-,-,-,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Métodos de Investigação, Paradigmas Epistemológicos",-,-
C64,Testes e Validação: TestANOVA,35,test_d9_metodologia.py,-,-,-,-,Testes e Validação,"Alto Dados (Expansão de Cobertura), Metodologia Específica (keyword_map compatibility), Métodos de Investigação","TestANOVA, TestTTest, TestRandomization",".test_anova_significant(), .test_anova_not_significant(), .test_ttest_significant()"
C65,Sincronização e Orquestração: Path,34,"config.py, state.py, events.py",-,-,"R54, R56","C27, C68",Sincronização e Orquestração,Temporalidade Específica,"Path, Any, ScoringSettings",".__init__(), .clear(), .model_post_init()"
C66,Evolução e Feedback: LearningAlgorithm,34,meta_learning_engine.py,-,-,"R4, R5","C0, C123",Evolução e Feedback,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação","LearningAlgorithm, TaskProfile, LearningStrategy",".to_dict(), .__init__(), .select_learning_algorithm()"
C67,Integração Nexus: Constraint,34,"micro_validation.py, nexus_integration_full.py",-,-,-,"C0, C19",Integração Nexus,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","Constraint, Any, MicroValidator",".__init__(), .validate(), ._init_all_constraints()"
C68,Integração Nexus: Container,33,"nexus_bernstein.py, container.py",-,-,-,"C4, C5, C8, C19, C25",Integração Nexus,Temporalidade Específica,"Container, Any, ErrorClassification",".__init__(), .reset(), .register()"
C69,Testes e Validação: TestContainerAccess,33,"test_container.py, test_backward_compat.py, test_integration_core.py",-,-,-,"C4, C5, C8, C25, C27",Testes e Validação,-,"TestContainerAccess, TestRegisterResolve, TestIntrospection",".test_resolve_state_manager_after_init(), .test_resolve_event_bus_after_init(), .test_resolve_fails_before_init()"
C70,Agentes e Skills: AgentGenome,33,agent_metamorphosis.py,-,-,"R56, R57","C0, C19, C123",Agentes e Skills,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação","AgentGenome, MetamorphosisEvent, AgentMetamorphosis",".__post_init__(), .is_active(), .get_active_capabilities()"
C71,Evolução e Feedback: FitnessMetrics,33,evolution_optimizer.py,-,-,"R4, R5",C123,Evolução e Feedback,-,"FitnessMetrics, EvolutionOptimizer, Any",".calculate_fitness(), .__init__(), ._load_state()"
C72,Sincronização e Orquestração: OperationDependency,33,"granular_sync.py, test_ecosystem_full.py",-,-,"R54, R56","C0, C2, C4, C5, C8",Sincronização e Orquestração,Temporalidade Específica,"OperationDependency, SyncBarrier, GranularSyncManager",".__post_init__(), .is_ready(), .__init__()"
C73,Testes e Validação: HypothesisStatus,33,"test_rumi.py, rumi_causal_discovery.py",-,-,-,"C0, C54, C92, C123, C202",Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","HypothesisStatus, CausalHypothesis, CausalTester",".to_dict(), .tournament(), .__init__()"
C74,Testes e Validação: Curva de esquecimento de Ebbinghaus: R(t) = e^(-t/S)     t_days: tempo desde a a,33,test_d13_pedagogia.py,-,-,-,-,Testes e Validação,"Alto Dados (Expansão de Cobertura), Metodologia Específica (keyword_map compatibility), Métodos de Investigação","Curva de esquecimento de Ebbinghaus: R(t) = e^(-t/S)     t_days: tempo desde a a, Critério de domínio: o aluno deve atingir >= threshold em     'required_consecut, D13-N2-02: Índice de Carga Cognitiva classifica corretamente por soma dos compon",-
C75,Testes e Validação: D16-N3-01: Alinhamento global de Needleman-Wunsch score é matematicamente corret,33,test_d16_bioinformatica.py,-,-,-,-,Testes e Validação,"Níveis Análise Específicos, População Específica, População e Contexto",D16-N3-01: Alinhamento global de Needleman-Wunsch score é matematicamente corret,-
C76,Integração Nexus: D18 Direito Computacional,33,test_d18_direito_computacional.py,-,-,-,-,Integração Nexus,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)",-,-
C77,Integração Nexus: Verifica consistência tectônica: montanhas devem estar próximas de fronteiras de,33,test_d19_worldbuilding.py,-,-,-,-,Integração Nexus,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+",Verifica consistência tectônica: montanhas devem estar próximas de fronteiras de,-
C78,Testes e Validação: Regra de aprendizagem Hebbiana: Δw = η * pre * post     Retorna novo peso w + Δw,33,test_d20_neurociencia.py,-,-,-,-,Testes e Validação,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Métodos de Investigação","Regra de aprendizagem Hebbiana: Δw = η * pre * post     Retorna novo peso w + Δw, D20-N1-02: Aprendizagem Hebbiana fortalece conexão quando pré e pós disparam jun",-
C79,Integração Nexus: D21 Medicina Digital,33,test_d21_medicina_digital.py,-,-,-,-,Integração Nexus,"Alto Raciocínio (Especificidades), Dados Específicos, Metodologia Específica (keyword_map compatibility)",-,-
C80,Testes e Validação: D24 Engenharia Reversa,33,test_d24_engenharia_reversa.py,-,-,-,-,Testes e Validação,"Métodos de Investigação, Paradigmas Epistemológicos, População e Contexto",-,-
C81,Metacognição e Self-Model: Process Reward Model (PRM): pontua um passo de raciocínio     baseado na sobrepo,33,test_d25_metacognicao.py,-,-,"R31, R32, R33, R34",-,Metacognição e Self-Model,"Alto Raciocínio (Especificidades), Dados Específicos, Metodologia Específica (keyword_map compatibility)","Process Reward Model (PRM): pontua um passo de raciocínio     baseado na sobrepo, Tree of Thoughts: dado orçamento de nós e profundidade alvo,     calcula fator d",-
C82,Evolução e Feedback: OperationFeedback,32,micro_feedback_loop.py,-,-,"R4, R5","C0, C19, C123",Evolução e Feedback,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+, Raciocínio Formal (keyword_map compatibility)","OperationFeedback, MicroFeedbackEngine, Feedback de uma operação atômica",".to_dict(), .__init__(), .record_feedback()"
C83,Testes e Validação: CTResult,32,test_capability_composer.py,-,-,-,-,Testes e Validação,"Métodos de Investigação, Paradigmas Epistemológicos, Perspectiva Temporal","CTResult, Any",.__init__()
C84,Testes e Validação: TestUnifiedStateManagerRouting,32,test_unified_state_manager.py,-,-,-,-,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Métodos de Investigação, Preenchimento de Ausências (R37) — Complemento para 80%+","TestUnifiedStateManagerRouting, TestUnifiedStateManagerSingleton, TestUnifiedStateManagerAccessors",".test_sqlite_by_default(), .test_file_with_prefix(), .test_file_key_overlap()"
C85,Testes e Validação: D5-N1-01: ATGCGT → AUGCGU,32,test_d5_biologia.py,-,-,-,-,Testes e Validação,Perspectiva Temporal,"D5-N1-01: ATGCGT → AUGCGU, D5-N1-01: GATTACA → GAUUACA, D5-N1-01: Sequência sem T permanece igual",-
C86,Testes e Validação: D8-N1-01: Afirmação principal do artigo GAT,32,test_d8_literatura.py,-,-,-,-,Testes e Validação,"Metodologia Específica (keyword_map compatibility), População Específica, Preenchimento de Ausências (R37) — Complemento para 80%+","D8-N1-01: Afirmação principal do artigo GAT, D8-N1-01: Afirmação principal do artigo Black-Scholes, D8-N1-01: Afirmação principal de Nelson",-
C87,Testes e Validação: TestPsicologiaClinica,32,test_r34_dominio_psicologia_clinica.py,-,-,-,-,Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Domínios de Conhecimento Cruzados","TestPsicologiaClinica, TestDadosQualitativos, TestMetaAnalise",".test_ct01_spec_exists(), .test_ct02_keywords(), .test_ct05_skill_exists()"
C88,Testes e Validação: Score de descoberta causal (algoritmo PC): proporção de arestas orientadas corre,31,test_d22_causalidade.py,-,-,-,-,Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","Score de descoberta causal (algoritmo PC): proporção de arestas orientadas corre, D22-N4-02: Score de descoberta causal (PC) mede acurácia de orientação de aresta",-
